system,green_view_index,building_view_index,type_highway_mismatch,city_probe_acc,checkpoint
trained city encoder (Stage 5),0.1456196378948217,0.2265736445744301,0.3191489361702128,0.906273066997528,vicreg_a_ep001
frozen imagenet,0.0913500960392419,0.1335568092470455,0.2828282828282828,0.7738136053085327,vicreg_a_ep001
VICReg [vicreg_a_ep001],0.1155506823038575,0.2065000728326421,0.365,0.4864238798618316,vicreg_a_ep001
tabular (ORACLE-ish sanity check),0.0239537378822255,0.0361837513397099,0.0,,vicreg_a_ep001
random control,0.1519269359300857,0.2431906440954842,0.335,,vicreg_a_ep001
trained city encoder (Stage 5),0.1456196378948217,0.22657364457443016,0.3191489361702128,0.9062730669975281,vicreg_a_ep030
frozen imagenet,0.09135009603924195,0.13355680924704558,0.2828282828282828,0.7738136053085327,vicreg_a_ep030
VICReg [vicreg_a_ep030],0.0879152973485988,0.13480591758226176,0.4117647058823529,0.8181638717651367,vicreg_a_ep030
tabular (ORACLE-ish sanity check),0.023953737882225587,0.036183751339709955,0.0,,vicreg_a_ep030
random control,0.15192693593008577,0.24319064409548422,0.335,,vicreg_a_ep030
